"label (S)","n (N)","content (M)","number (N)"
"c","3","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""12"" },          { ""N"" : ""10"" },          { ""N"" : ""1"" },          { ""N"" : ""-3"" },          { ""N"" : ""-6"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-9"" },          { ""N"" : ""-17"" },          { ""N"" : ""-1"" },          { ""N"" : ""11"" },          { ""N"" : ""14"" },          { ""N"" : ""16"" },          { ""N"" : ""5"" },          { ""N"" : ""-4"" },          { ""N"" : ""-12"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","5","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""3"" },          { ""N"" : ""10"" },          { ""N"" : ""10"" },          { ""N"" : ""4"" },          { ""N"" : ""1"" },          { ""N"" : ""-4"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""-9"" },          { ""N"" : ""-11"" },          { ""N"" : ""-3"" },          { ""N"" : ""7"" },          { ""N"" : ""9"" },          { ""N"" : ""17"" },          { ""N"" : ""12"" },          { ""N"" : ""4"" },          { ""N"" : ""-6"" },          { ""N"" : ""-14"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","8","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""6"" },          { ""N"" : ""8"" },          { ""N"" : ""10"" },          { ""N"" : ""6"" },          { ""N"" : ""4"" },          { ""N"" : ""-5"" },          { ""N"" : ""-5"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""-9"" },          { ""N"" : ""-11"" },          { ""N"" : ""-4"" },          { ""N"" : ""-5"" },          { ""N"" : ""10"" },          { ""N"" : ""9"" },          { ""N"" : ""16"" },          { ""N"" : ""6"" },          { ""N"" : ""8"" },          { ""N"" : ""0"" },          { ""N"" : ""-11"" },          { ""N"" : ""-9"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","9","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""13"" },          { ""N"" : ""10"" },          { ""N"" : ""3"" },          { ""N"" : ""-2"" },          { ""N"" : ""-4"" },          { ""N"" : ""-3"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-10"" },          { ""N"" : ""-11"" },          { ""N"" : ""-5"" },          { ""N"" : ""0"" },          { ""N"" : ""13"" },          { ""N"" : ""16"" },          { ""N"" : ""16"" },          { ""N"" : ""2"" },          { ""N"" : ""-3"" },          { ""N"" : ""-10"" },          { ""N"" : ""-9"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","10","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""10"" },          { ""N"" : ""9"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-4"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-6"" },          { ""N"" : ""-12"" },          { ""N"" : ""-8"" },          { ""N"" : ""-1"" },          { ""N"" : ""9"" },          { ""N"" : ""14"" },          { ""N"" : ""18"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""-11"" },          { ""N"" : ""-10"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","12","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""2"" },          { ""N"" : ""14"" },          { ""N"" : ""16"" },          { ""N"" : ""9"" },          { ""N"" : ""2"" },          { ""N"" : ""-3"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-11"" },          { ""N"" : ""-20"" },          { ""N"" : ""-2"" },          { ""N"" : ""6"" },          { ""N"" : ""17"" },          { ""N"" : ""22"" },          { ""N"" : ""14"" },          { ""N"" : ""9"" },          { ""N"" : ""-10"" },          { ""N"" : ""-12"" },          { ""N"" : ""-9"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","7","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""1"" },          { ""N"" : ""2"" },          { ""N"" : ""1"" },          { ""N"" : ""4"" },          { ""N"" : ""9"" },          { ""N"" : ""12"" },          { ""N"" : ""1"" },          { ""N"" : ""-5"" },          { ""N"" : ""-9"" },          { ""N"" : ""-4"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""14"" },          { ""N"" : ""-1"" },          { ""N"" : ""-10"" },          { ""N"" : ""-9"" },          { ""N"" : ""-11"" },          { ""N"" : ""5"" },          { ""N"" : ""9"" },          { ""N"" : ""6"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""-14"" },          { ""N"" : ""-13"" },          { ""N"" : ""-1"" },          { ""N"" : ""17"" },          { ""N"" : ""23"" },          { ""N"" : ""-2"" },          { ""N"" : ""-11"" },          { ""N"" : ""-13"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"m","3","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""15"" },          { ""N"" : ""12"" },          { ""N"" : ""0"" },          { ""N"" : ""-21"" },          { ""N"" : ""-27"" },          { ""N"" : ""-9"" },          { ""N"" : ""4"" },          { ""N"" : ""27"" },          { ""N"" : ""20"" },          { ""N"" : ""7"" },          { ""N"" : ""-15"" },          { ""N"" : ""-25"" },          { ""N"" : ""-11"" },          { ""N"" : ""5"" },          { ""N"" : ""13"" },          { ""N"" : ""24"" },          { ""N"" : ""12"" },          { ""N"" : ""-5"" },          { ""N"" : ""-8"" },          { ""N"" : ""-10"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""-3"" },          { ""N"" : ""2"" },          { ""N"" : ""-6"" },          { ""N"" : ""4"" },          { ""N"" : ""4"" },          { ""N"" : ""5"" },          { ""N"" : ""1"" },          { ""N"" : ""-6"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""13"" },          { ""N"" : ""4"" },          { ""N"" : ""-6"" },          { ""N"" : ""-11"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","9","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""1"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""5"" },          { ""N"" : ""7"" },          { ""N"" : ""12"" },          { ""N"" : ""2"" },          { ""N"" : ""-4"" },          { ""N"" : ""-7"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""11"" },          { ""N"" : ""9"" },          { ""N"" : ""-22"" },          { ""N"" : ""-14"" },          { ""N"" : ""-9"" },          { ""N"" : ""-3"" },          { ""N"" : ""15"" },          { ""N"" : ""9"" },          { ""N"" : ""2"" },          { ""N"" : ""-7"" },          { ""N"" : ""-3"" },          { ""N"" : ""-4"" },          { ""N"" : ""-3"" },          { ""N"" : ""19"" },          { ""N"" : ""12"" },          { ""N"" : ""5"" },          { ""N"" : ""-3"" },          { ""N"" : ""-17"" },          { ""N"" : ""-9"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"l","8","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""13"" },          { ""N"" : ""17"" },          { ""N"" : ""-3"" },          { ""N"" : ""-10"" },          { ""N"" : ""-14"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""-2"" },          { ""N"" : ""3"" },          { ""N"" : ""3"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""12"" },          { ""N"" : ""10"" },          { ""N"" : ""14"" },          { ""N"" : ""-16"" },          { ""N"" : ""-15"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","10","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""9"" },          { ""N"" : ""11"" },          { ""N"" : ""4"" },          { ""N"" : ""-3"" },          { ""N"" : ""-7"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""-2"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""11"" },          { ""N"" : ""19"" },          { ""N"" : ""-9"" },          { ""N"" : ""-32"" },          { ""N"" : ""-17"" },          { ""N"" : ""-3"" },          { ""N"" : ""6"" },          { ""N"" : ""7"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""-11"" },          { ""N"" : ""-6"" },          { ""N"" : ""14"" },          { ""N"" : ""15"" },          { ""N"" : ""18"" },          { ""N"" : ""-6"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","11","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""10"" },          { ""N"" : ""9"" },          { ""N"" : ""1"" },          { ""N"" : ""-8"" },          { ""N"" : ""-13"" },          { ""N"" : ""-5"" },          { ""N"" : ""1"" },          { ""N"" : ""3"" },          { ""N"" : ""7"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""15"" },          { ""N"" : ""-11"" },          { ""N"" : ""-21"" },          { ""N"" : ""-19"" },          { ""N"" : ""7"" },          { ""N"" : ""7"" },          { ""N"" : ""1"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""2"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""7"" },          { ""N"" : ""19"" },          { ""N"" : ""10"" },          { ""N"" : ""-1"" },          { ""N"" : ""-11"" },          { ""N"" : ""-14"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","12","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""2"" },          { ""N"" : ""9"" },          { ""N"" : ""11"" },          { ""N"" : ""8"" },          { ""N"" : ""0"" },          { ""N"" : ""-13"" },          { ""N"" : ""-11"" },          { ""N"" : ""-3"" },          { ""N"" : ""4"" },          { ""N"" : ""1"" },          { ""N"" : ""4"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""-3"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""11"" },          { ""N"" : ""-2"" },          { ""N"" : ""-11"" },          { ""N"" : ""-14"" },          { ""N"" : ""-5"" },          { ""N"" : ""16"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-9"" },          { ""N"" : ""-15"" },          { ""N"" : ""7"" },          { ""N"" : ""21"" },          { ""N"" : ""19"" },          { ""N"" : ""4"" },          { ""N"" : ""-9"" },          { ""N"" : ""-18"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","13","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""9"" },          { ""N"" : ""11"" },          { ""N"" : ""7"" },          { ""N"" : ""-1"" },          { ""N"" : ""-11"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""21"" },          { ""N"" : ""-6"" },          { ""N"" : ""-17"" },          { ""N"" : ""-13"" },          { ""N"" : ""-5"" },          { ""N"" : ""15"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""-18"" },          { ""N"" : ""7"" },          { ""N"" : ""22"" },          { ""N"" : ""14"" },          { ""N"" : ""4"" },          { ""N"" : ""-8"" },          { ""N"" : ""-14"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","14","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""9"" },          { ""N"" : ""11"" },          { ""N"" : ""5"" },          { ""N"" : ""-2"" },          { ""N"" : ""-9"" },          { ""N"" : ""-7"" },          { ""N"" : ""-1"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""4"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""16"" },          { ""N"" : ""2"" },          { ""N"" : ""-8"" },          { ""N"" : ""-22"" },          { ""N"" : ""-3"" },          { ""N"" : ""13"" },          { ""N"" : ""7"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-12"" },          { ""N"" : ""1"" },          { ""N"" : ""23"" },          { ""N"" : ""15"" },          { ""N"" : ""0"" },          { ""N"" : ""-9"" },          { ""N"" : ""-14"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
